Time,Force,Displacement,Velocity,Acceleration,Jerk
4.499999999918458e-05,1.0513767576779185,-416.0566896119026,13.756687433658472,10.028295045523427,-13.783083532373743
0.0001449999999993,1.05304637819671,-416.05617185824724,13.757690194247608,10.026916737170186,-13.783083532373743
0.0002449999999992,1.0547056229723348,-416.0556588720274,13.758692817005908,10.025538428816953,-13.783083532373743
0.0003449999999991,1.0563545193832276,-416.05515063609033,13.75969530193337,10.024160120463714,-13.783083532373743
0.0004449999999993,1.0579930948078236,-416.05464713328337,13.760697649030002,10.022781812110477,-13.783083532373743
0.000544999999999,1.0596213766245577,-416.0541483464539,13.761699858295792,10.02140350375724,-13.783083532373743
0.0006449999999992,1.0612393922118644,-416.0536542584491,13.762701929730754,10.020025195404001,-13.783083532373743
0.0007449999999991,1.062847168948179,-416.0531648521165,13.763703863334872,10.018646887050766,-13.783083532373743
0.0008449999999992,1.064444734211937,-416.0526801103034,13.764705659108163,10.017268578697527,-13.783083532373743
0.0009449999999992,1.0660321153815728,-416.05220001585684,13.765707317050616,10.01589027034429,-13.783083532373743
0.0010449999999993,1.0676093398355213,-416.05172455162455,13.766708837162232,10.014511961991051,-13.783083532373743
0.0011449999999991,1.0691764349522177,-416.0512537004537,13.767710219443014,10.013133653637814,-13.783083532373743
0.0012449999999992,1.070733428110097,-416.0507874451914,13.768711463892958,10.01175534528458,-13.783083532373743
0.0013449999999991,1.072280346687594,-416.05032576868524,13.769712570512068,10.01037703693134,-13.783083532373743
0.0014449999999991,1.073817218063144,-416.04986865378254,13.770713539300342,10.008998728578103,-13.783083532373743
0.0015449999999992,1.0753440696151817,-416.0494160833305,13.771714370257785,10.007620420224864,-13.783083532373743
0.0016449999999993,1.0768609287221418,-416.0489680401766,13.772715063384387,10.006242111871625,-13.783083532373743
0.0017449999999991,1.0783678227624596,-416.048524507168,13.773715618680159,10.00486380351839,-13.783083532373743
0.0018449999999992,1.0798647791145704,-416.048085467152,13.774716036145092,10.003485495165153,-13.783083532373743
0.0019449999999991,1.0813518251569083,-416.04765090297633,13.775716315779192,10.002107186811918,-13.783083532373743
0.0020449999999991,1.082828988267909,-416.04722079748785,13.776716457582454,10.000728878458684,-13.783083532373743
0.0021449999999992,1.0842962958260076,-416.04679513353403,13.777716461554885,9.999350570105443,-13.783083532373743
0.0022449999999992,1.0857537752096384,-416.0463738939622,13.778716327696477,9.997972261752205,-13.783083532373743
0.0023449999999991,1.0872014537972368,-416.04595706161973,13.77971605600723,9.996593953398968,-13.783083532373743
0.0024449999999992,1.0886393589672374,-416.04554461935396,13.780715646487154,9.995215645045729,-13.783083532373743
0.0025449999999992,1.0900675180980757,-416.0451365500122,13.781715099136239,9.993837336692492,-13.783083532373743
0.0026449999999991,1.0914859585681864,-416.0447328364417,13.782714413954492,9.992459028339258,-13.783083532373743
0.0027449999999992,1.0928947077560045,-416.0443334614899,13.78371359094191,9.991080719986016,-13.783083532373743
0.0028449999999992,1.094293793039965,-416.043938408004,13.78471263009849,9.98970241163278,-13.783083532373743
0.0029449999999991,1.0956832417985027,-416.04354765883147,13.785711531424235,9.988324103279542,-13.783083532373743
0.0030449999999991,1.0970630814100526,-416.0431611968196,13.786710294919148,9.986945794926308,-13.783083532373743
0.0031449999999992,1.09843333925305,-416.0427790048156,13.787708920583226,9.985567486573068,-13.783083532373743
0.0032449999999991,1.0997940427059294,-416.04240106566704,13.788707408416462,9.984189178219832,-13.783083532373743
0.0033449999999993,1.1011452191471265,-416.04202736222095,13.789705758418869,9.982810869866592,-13.783083532373743
