# Stiffness_Nm_per_rad
9.339417645122125978e+05, # J1
4.129256136278848164e+06, # J2
1.907534091464656871e+06, # J3
2.332046026475337567e+05, # J4
4.043588275329603930e+05, # J5
7.961815940385307476e+04  # J6
